Partno,Catholic - ______,Back - ______,Baby - ______,Grab - ______,Snake - ______,Sense - ______,Money - ______,Mink - ______,Drum - ______,Hatchet - ______,Hip - ______,Doctor - _______,Wrist - ______,Tack - ______,Jesus - ______,Cherry - ______,Dust - ______,Blonde - ______,Bottle - ______,Green - ______,Idea - ______
1,,0,,,0,0,0,,,,1,1,,1,,,0,,0,,
2,,,,,,,,,,,,,,,,,,,,,
3,,,0,,,,,,0,,,,,,,,,,,,
4,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0
7,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
8,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0
10,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0
11,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
12,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0
13,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0
14,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0
15,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1
16,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0
17,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0
18,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0
19,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
20,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0
21,,,,,,,,,,,,,,,,,,,,,
22,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0
23,1,0,1,0,1,,1,1,0,1,0,1,1,,1,0,0,1,0,1,0
24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
25,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
26,1,,0,0,1,0,0,1,1,1,1,1,1,1,1,1,,1,0,0,
27,,,,,,,,,,,,,,,,,,,,,
28,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
29,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1
30,1,,0,1,1,,1,,1,,1,1,1,,1,0,,1,0,0,
31,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1
32,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
33,1,0,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,
34,1,,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1
35,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0
36,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
37,1,1,0,0,1,1,,,0,1,1,1,1,1,1,1,1,1,1,0,1
38,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
39,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0
40,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0
41,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0
42,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
43,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
45,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0
46,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
47,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0
48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
49,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1
50,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0
51,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0
52,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0
53,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0
54,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
55,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1
56,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
57,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1
59,1,1,,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,1,1
60,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0
61,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1
62,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1
63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1
65,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1
66,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0
67,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0
68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
69,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
70,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0
71,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0
72,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
73,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1
74,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0
75,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
76,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0
77,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1
78,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
79,0,1,,,1,,,1,,0,1,1,1,1,1,0,1,1,0,1,
80,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0
81,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
82,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0
83,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0
84,,,,,,,,,,,,,,,,,,,,,
85,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1
86,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
87,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
88,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1
89,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1
90,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0
91,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0
92,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0
93,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0
94,,1,0,,1,,1,1,,1,1,,1,1,1,,1,1,,0,0
95,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0
96,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0
97,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1
98,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0
99,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0
100,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0
101,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0
102,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
104,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1
105,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1
106,0,,0,,,,1,0,0,,,,,,,0,0,0,,0,0
107,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
108,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0
109,0,1,0,1,1,1,1,,0,,1,1,0,,1,0,1,1,0,1,0
110,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0
